,DATASET,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,
,2016-2017 Regular Season,11/02/16,9:00 PM,Dallas,Utah,240,81,97,2,3IN4-B2B,
,2016-2017 Regular Season,11/02/16,10:00 PM,Portland,Phoenix,265,115,118,B2B,3IN4,
,2016-2017 Regular Season,11/02/16,10:30 PM,Oklahoma City,LA Clippers,240,85,83,2,3IN4,
,2016-2017 Regular Season,11/03/16,7:00 PM,Sacramento,Orlando,240,94,102,3IN4,1,
,2016-2017 Regular Season,11/03/16,8:00 PM,Indiana,Milwaukee,240,107,125,1,1,
,2016-2017 Regular Season,11/03/16,8:00 PM,Denver,Minnesota,240,102,99,2,1,
,2016-2017 Regular Season,11/03/16,8:00 PM,Boston,Cleveland,240,122,128,B2B,1,
,2016-2017 Regular Season,11/03/16,10:30 PM,Oklahoma City,Golden State,240,96,122,B2B,1,
,2016-2017 Regular Season,11/04/16,7:00 PM,Atlanta,Washington,240,92,95,1,1,
,2016-2017 Regular Season,11/04/16,7:30 PM,Miami,Toronto,240,87,96,2,1,
,2016-2017 Regular Season,11/04/16,7:30 PM,Charlotte,Brooklyn,240,99,95,1,1,
,2016-2017 Regular Season,11/04/16,8:00 PM,New York,Chicago,240,117,104,3IN4,1,
,2016-2017 Regular Season,11/04/16,8:00 PM,LA Clippers,Memphis,240,99,88,1,3IN4,
,2016-2017 Regular Season,11/04/16,8:00 PM,Phoenix,New Orleans,265,112,111,1,3IN4,
,2016-2017 Regular Season,11/04/16,8:30 PM,Portland,Dallas,240,105,95,3IN4,1,
,2016-2017 Regular Season,11/04/16,9:00 PM,San Antonio,Utah,240,100,86,2,3IN4,
,2016-2017 Regular Season,11/04/16,10:30 PM,Golden State,LA Lakers,240,97,117,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/05/16,6:00 PM,Minnesota,Oklahoma City,240,92,112,1,3IN4,
,2016-2017 Regular Season,11/05/16,7:00 PM,Cleveland,Philadelphia,240,102,101,1,2,
,2016-2017 Regular Season,11/05/16,7:00 PM,Washington,Orlando,240,86,88,3IN4-B2B,1,
,2016-2017 Regular Season,11/05/16,7:00 PM,Denver,Detroit,240,86,103,1,2,
,2016-2017 Regular Season,11/05/16,7:00 PM,Chicago,Indiana,240,94,111,3IN4-B2B,1,
,2016-2017 Regular Season,11/05/16,7:30 PM,Houston,Atlanta,240,97,112,2,3IN4-B2B,
,2016-2017 Regular Season,11/05/16,8:00 PM,Sacramento,Milwaukee,240,91,117,1,1,
,2016-2017 Regular Season,11/05/16,8:30 PM,LA Clippers,San Antonio,240,116,92,3IN4-B2B,B2B,
,2016-2017 Regular Season,11/06/16,12:00 PM,Utah,New York,240,114,109,1,1,
,2016-2017 Regular Season,11/06/16,3:30 PM,Portland,Memphis,240,100,94,1,1,
,2016-2017 Regular Season,11/06/16,6:00 PM,Sacramento,Toronto,240,96,91,3IN4-B2B,1,
,2016-2017 Regular Season,11/06/16,7:00 PM,Milwaukee,Dallas,265,75,86,3IN4-B2B,1,
,2016-2017 Regular Season,11/06/16,7:30 PM,Denver,Boston,240,123,107,3IN4-B2B,2,
,2016-2017 Regular Season,11/06/16,9:30 PM,Phoenix,LA Lakers,240,108,119,1,1,
,2016-2017 Regular Season,11/07/16,7:00 PM,Utah,Philadelphia,240,109,84,3IN4-B2B,1,
,2016-2017 Regular Season,11/07/16,7:00 PM,Houston,Washington,240,114,106,1,3IN4,
,2016-2017 Regular Season,11/07/16,7:00 PM,Indiana,Charlotte,240,100,122,1,2,
,2016-2017 Regular Season,11/07/16,8:00 PM,Orlando,Chicago,240,80,112,1,3IN4,
,2016-2017 Regular Season,11/07/16,8:00 PM,Miami,Oklahoma City,240,85,97,2,1,
,2016-2017 Regular Season,11/07/16,10:30 PM,Detroit,LA Clippers,240,82,114,1,3IN4,
,2016-2017 Regular Season,11/07/16,10:30 PM,New Orleans,Golden State,240,106,116,2,2,
,2016-2017 Regular Season,11/08/16,7:00 PM,Atlanta,Cleveland,240,110,106,2,2,
,2016-2017 Regular Season,11/08/16,7:30 PM,Minnesota,Brooklyn,240,110,119,2,3+,
,2016-2017 Regular Season,11/08/16,8:00 PM,Denver,Memphis,240,107,108,3IN4,1,
,2016-2017 Regular Season,11/08/16,10:00 PM,Phoenix,Portland,240,121,124,1,1,
,2016-2017 Regular Season,11/08/16,10:30 PM,Dallas,LA Lakers,240,109,97,1,1,
,2016-2017 Regular Season,11/08/16,10:30 PM,New Orleans,Sacramento,240,94,102,B2B,3IN4,
,2016-2017 Regular Season,11/09/16,7:00 PM,Brooklyn,New York,240,96,110,B2B,2,
,2016-2017 Regular Season,11/09/16,7:00 PM,Boston,Washington,240,93,118,2,1,
,2016-2017 Regular Season,11/09/16,7:00 PM,Utah,Charlotte,240,98,104,3IN4,1,
,2016-2017 Regular Season,11/09/16,7:00 PM,Minnesota,Orlando,240,123,107,B2B,1,
,2016-2017 Regular Season,11/09/16,7:00 PM,Philadelphia,Indiana,265,115,122,1,1,
,2016-2017 Regular Season,11/09/16,7:30 PM,Chicago,Atlanta,240,107,115,1,B2B,
,2016-2017 Regular Season,11/09/16,8:00 PM,Toronto,Oklahoma City,240,112,102,2,1,
,2016-2017 Regular Season,11/09/16,9:00 PM,Detroit,Phoenix,240,100,107,1,3IN4-B2B,
,2016-2017 Regular Season,11/09/16,9:30 PM,Houston,San Antonio,240,101,99,1,3+,
,2016-2017 Regular Season,11/09/16,10:30 PM,Portland,LA Clippers,240,80,111,3IN4-B2B,1,
,2016-2017 Regular Season,11/09/16,10:30 PM,Dallas,Golden State,240,95,116,3IN4-B2B,1,
,2016-2017 Regular Season,11/10/16,8:00 PM,New Orleans,Milwaukee,240,112,106,3IN4,3+,
,2016-2017 Regular Season,11/10/16,8:00 PM,Chicago,Miami,240,98,95,3IN4-B2B,2,
,2016-2017 Regular Season,11/10/16,9:00 PM,Golden State,Denver,240,125,101,3IN4-B2B,1,
,2016-2017 Regular Season,11/10/16,10:30 PM,LA Lakers,Sacramento,240,101,91,1,1,
,2016-2017 Regular Season,11/11/16,7:00 PM,Indiana,Philadelphia,265,105,109,1,1,
,2016-2017 Regular Season,11/11/16,7:00 PM,Cleveland,Washington,240,105,94,2,1,
,2016-2017 Regular Season,11/11/16,7:00 PM,Toronto,Charlotte,240,113,111,1,1,
,2016-2017 Regular Season,11/11/16,7:00 PM,Utah,Orlando,240,87,74,1,1,
,2016-2017 Regular Season,11/11/16,7:30 PM,New York,Boston,240,87,115,1,1,
,2016-2017 Regular Season,11/11/16,8:00 PM,LA Clippers,Oklahoma City,240,110,108,1,1,
,2016-2017 Regular Season,11/11/16,8:30 PM,Detroit,San Antonio,240,86,96,1,1,
,2016-2017 Regular Season,11/11/16,10:00 PM,Sacramento,Portland,265,120,122,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/12/16,7:00 PM,LA Lakers,New Orleans,240,126,99,1,1,
,2016-2017 Regular Season,11/12/16,7:00 PM,Boston,Indiana,240,105,99,3IN4-B2B,3IN4-B2B,
,2016-2017 Regular Season,11/12/16,7:30 PM,New York,Toronto,240,107,118,3IN4-B2B,3IN4-B2B,
,2016-2017 Regular Season,11/12/16,7:30 PM,Philadelphia,Atlanta,240,96,117,3IN4-B2B,2,
,2016-2017 Regular Season,11/12/16,8:00 PM,Washington,Chicago,240,95,106,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/12/16,8:00 PM,San Antonio,Houston,240,106,100,3IN4-B2B,2,
,2016-2017 Regular Season,11/12/16,8:00 PM,LA Clippers,Minnesota,240,119,105,3IN4-B2B,2,
,2016-2017 Regular Season,11/12/16,8:00 PM,Utah,Miami,240,102,91,3IN4-B2B,1,
,2016-2017 Regular Season,11/12/16,8:30 PM,Memphis,Milwaukee,240,96,106,3+,1,
,2016-2017 Regular Season,11/12/16,9:00 PM,Detroit,Denver,240,106,95,3IN4-B2B,1,
,2016-2017 Regular Season,11/12/16,9:00 PM,Brooklyn,Phoenix,240,122,104,2,2,
,2016-2017 Regular Season,11/13/16,3:30 PM,Charlotte,Cleveland,240,93,100,1,1,
,2016-2017 Regular Season,11/13/16,7:00 PM,Orlando,Oklahoma City,240,119,117,1,1,
,2016-2017 Regular Season,11/13/16,7:00 PM,LA Lakers,Minnesota,240,99,125,3IN4-B2B,B2B,
,2016-2017 Regular Season,11/13/16,8:00 PM,Phoenix,Golden State,240,120,133,B2B,2,
,2016-2017 Regular Season,11/13/16,9:00 PM,Denver,Portland,240,105,112,3IN4-B2B,1,
,2016-2017 Regular Season,11/14/16,7:00 PM,Orlando,Indiana,240,69,88,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/14/16,7:30 PM,Dallas,New York,240,77,93,3+,3IN4,
,2016-2017 Regular Season,11/14/16,7:30 PM,Oklahoma City,Detroit,240,88,104,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/14/16,8:00 PM,Boston,New Orleans,240,105,106,3IN4,1,
,2016-2017 Regular Season,11/14/16,8:00 PM,Philadelphia,Houston,240,88,115,3IN4,1,
,2016-2017 Regular Season,11/14/16,8:30 PM,Miami,San Antonio,240,90,94,1,3IN4,
,2016-2017 Regular Season,11/14/16,9:00 PM,Memphis,Utah,240,102,96,1,3IN4,
,2016-2017 Regular Season,11/14/16,10:30 PM,Brooklyn,LA Clippers,240,95,127,1,3IN4,
,2016-2017 Regular Season,11/15/16,7:00 PM,Toronto,Cleveland,240,117,121,2,1,
,2016-2017 Regular Season,11/15/16,7:30 PM,Atlanta,Miami,240,93,90,2,3IN4-B2B,
,2016-2017 Regular Season,11/15/16,8:00 PM,Charlotte,Minnesota,240,115,108,1,3IN4,
,2016-2017 Regular Season,11/15/16,10:00 PM,Chicago,Portland,240,113,88,2,1,
,2016-2017 Regular Season,11/15/16,10:30 PM,Brooklyn,LA Lakers,240,118,125,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/16/16,7:00 PM,Washington,Philadelphia,240,102,109,3+,1,
,2016-2017 Regular Season,11/16/16,7:00 PM,New Orleans,Orlando,240,82,89,1,3IN4,
,2016-2017 Regular Season,11/16/16,7:00 PM,Cleveland,Indiana,240,93,103,3IN4-B2B,1,
,2016-2017 Regular Season,11/16/16,7:30 PM,Dallas,Boston,240,83,90,1,1,
,2016-2017 Regular Season,11/16/16,7:30 PM,Detroit,New York,240,102,105,1,1,
,2016-2017 Regular Season,11/16/16,7:30 PM,Milwaukee,Atlanta,240,100,107,3+,B2B,
,2016-2017 Regular Season,11/16/16,8:00 PM,Houston,Oklahoma City,240,103,105,1,3IN4,
,2016-2017 Regular Season,11/16/16,8:00 PM,Golden State,Toronto,240,127,121,2,B2B,
,2016-2017 Regular Season,11/16/16,9:00 PM,Phoenix,Denver,240,104,120,2,2,
,2016-2017 Regular Season,11/16/16,10:30 PM,Memphis,LA Clippers,240,111,107,1,1,
,2016-2017 Regular Season,11/16/16,10:30 PM,San Antonio,Sacramento,240,110,105,1,3+,
,2016-2017 Regular Season,11/17/16,7:00 PM,New York,Washington,240,112,119,3IN4-B2B,B2B,
,2016-2017 Regular Season,11/17/16,7:30 PM,Milwaukee,Miami,240,73,96,B2B,3IN4,
,2016-2017 Regular Season,11/17/16,8:00 PM,Portland,Houston,240,109,126,1,3IN4-B2B,
,2016-2017 Regular Season,11/17/16,8:00 PM,Philadelphia,Minnesota,240,86,110,3IN4-B2B,1,
,2016-2017 Regular Season,11/17/16,10:30 PM,Chicago,Utah,240,85,77,1,2,
,2016-2017 Regular Season,11/18/16,7:00 PM,Atlanta,Charlotte,240,96,100,3IN4,2,
,2016-2017 Regular Season,11/18/16,7:00 PM,Phoenix,Indiana,240,116,96,1,1,
,2016-2017 Regular Season,11/18/16,7:30 PM,Detroit,Cleveland,240,81,104,1,3IN4,
,2016-2017 Regular Season,11/18/16,8:00 PM,Portland,New Orleans,240,101,113,3IN4-B2B,1,
,2016-2017 Regular Season,11/18/16,8:00 PM,Brooklyn,Oklahoma City,240,105,124,2,1,
,2016-2017 Regular Season,11/18/16,8:00 PM,Golden State,Boston,240,104,88,1,1,
,2016-2017 Regular Season,11/18/16,8:30 PM,Memphis,Dallas,240,80,64,1,1,
,2016-2017 Regular Season,11/18/16,9:00 PM,Toronto,Denver,265,113,111,3IN4,1,
,2016-2017 Regular Season,11/18/16,10:30 PM,San Antonio,LA Lakers,240,116,107,1,2,
,2016-2017 Regular Season,11/18/16,10:30 PM,LA Clippers,Sacramento,240,121,115,1,1,
,2016-2017 Regular Season,11/19/16,5:00 PM,Utah,Houston,240,102,111,1,3IN4,
,2016-2017 Regular Season,11/19/16,7:00 PM,Charlotte,New Orleans,265,116,121,B2B,3IN4-B2B,
,2016-2017 Regular Season,11/19/16,7:00 PM,Miami,Washington,240,114,111,1,3IN4,
,2016-2017 Regular Season,11/19/16,7:00 PM,Dallas,Orlando,240,87,95,3IN4-B2B,2,
,2016-2017 Regular Season,11/19/16,7:00 PM,Boston,Detroit,240,94,92,3IN4-B2B,3IN4-B2B,
,2016-2017 Regular Season,11/19/16,7:30 PM,Phoenix,Philadelphia,240,105,120,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/19/16,8:00 PM,Minnesota,Memphis,240,71,93,1,3IN4-B2B,
,2016-2017 Regular Season,11/19/16,8:30 PM,Golden State,Milwaukee,240,124,121,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/19/16,10:30 PM,Chicago,LA Clippers,240,95,102,1,3IN4-B2B,
,2016-2017 Regular Season,11/20/16,1:00 PM,Atlanta,New York,240,94,104,1,2,
,2016-2017 Regular Season,11/20/16,3:30 PM,Portland,Brooklyn,240,129,109,3IN4,1,
,2016-2017 Regular Season,11/20/16,7:00 PM,Indiana,Oklahoma City,265,115,111,1,1,
,2016-2017 Regular Season,11/20/16,9:00 PM,Toronto,Sacramento,240,99,102,1,1,
,2016-2017 Regular Season,11/20/16,9:00 PM,Utah,Denver,240,91,105,3IN4-B2B,1,
,2016-2017 Regular Season,11/20/16,9:30 PM,Chicago,LA Lakers,240,118,110,3IN4-B2B,1,
,2016-2017 Regular Season,11/21/16,7:00 PM,Miami,Philadelphia,240,94,101,1,1,
,2016-2017 Regular Season,11/21/16,7:00 PM,Phoenix,Washington,240,101,106,3IN4,1,
,2016-2017 Regular Season,11/21/16,7:00 PM,Memphis,Charlotte,240,105,90,3IN4,3IN4,
,2016-2017 Regular Season,11/21/16,7:00 PM,Golden State,Indiana,240,120,83,3IN4,3IN4-B2B,
,2016-2017 Regular Season,11/21/16,7:30 PM,Houston,Detroit,240,99,96,1,3IN4,
,2016-2017 Regular Season,11/21/16,8:00 PM,Orlando,Milwaukee,240,89,93,1,1,
,2016-2017 Regular Season,11/21/16,8:00 PM,Boston,Minnesota,240,99,93,3IN4,1,
,2016-2017 Regular Season,11/21/16,8:30 PM,Dallas,San Antonio,240,91,96,3IN4,2,
,2016-2017 Regular Season,11/21/16,10:30 PM,Toronto,LA Clippers,240,115,123,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/22/16,7:30 PM,Portland,New York,240,103,107,1,1,
,2016-2017 Regular Season,11/22/16,7:30 PM,New Orleans,Atlanta,240,112,94,2,1,
,2016-2017 Regular Season,11/22/16,9:00 PM,Chicago,Denver,240,107,110,3IN4,1,
,2016-2017 Regular Season,11/22/16,10:30 PM,Oklahoma City,LA Lakers,240,109,111,1,1,
,2016-2017 Regular Season,11/23/16,7:00 PM,Memphis,Philadelphia,290,104,99,1,1,
,2016-2017 Regular Season,11/23/16,7:00 PM,San Antonio,Charlotte,240,119,114,1,1,
,2016-2017 Regular Season,11/23/16,7:00 PM,Phoenix,Orlando,240,92,87,1,1,
,2016-2017 Regular Season,11/23/16,7:00 PM,Portland,Cleveland,240,125,137,3IN4-B2B,3+,
,2016-2017 Regular Season,11/23/16,7:00 PM,Atlanta,Indiana,240,96,85,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/23/16,7:30 PM,Boston,Brooklyn,240,111,92,1,2,
,2016-2017 Regular Season,11/23/16,7:30 PM,Miami,Detroit,240,84,107,1,1,
,2016-2017 Regular Season,11/23/16,8:00 PM,Toronto,Houston,240,115,102,3IN4,1,
,2016-2017 Regular Season,11/23/16,8:30 PM,LA Clippers,Dallas,240,124,104,1,1,
,2016-2017 Regular Season,11/23/16,9:00 PM,Denver,Utah,240,83,108,3IN4-B2B,2,
,2016-2017 Regular Season,11/23/16,9:30 PM,Minnesota,New Orleans,240,96,117,1,B2B,
,2016-2017 Regular Season,11/23/16,10:30 PM,LA Lakers,Golden State,240,106,149,3IN4-B2B,1,
,2016-2017 Regular Season,11/23/16,10:30 PM,Oklahoma City,Sacramento,240,101,116,3IN4-B2B,2,
,2016-2017 Regular Season,11/25/16,1:00 PM,San Antonio,Boston,240,109,103,1,1,
,2016-2017 Regular Season,11/25/16,7:00 PM,Washington,Orlando,240,94,91,3+,1,
,2016-2017 Regular Season,11/25/16,7:30 PM,Dallas,Cleveland,240,90,128,1,1,
,2016-2017 Regular Season,11/25/16,7:30 PM,Charlotte,New York,265,111,113,1,2,
,2016-2017 Regular Season,11/25/16,7:30 PM,Chicago,Philadelphia,240,105,89,2,1,
,2016-2017 Regular Season,11/25/16,7:30 PM,LA Clippers,Detroit,240,97,108,1,1,
,2016-2017 Regular Season,11/25/16,8:00 PM,Atlanta,Utah,240,68,95,3IN4,1,
,2016-2017 Regular Season,11/25/16,8:00 PM,Toronto,Milwaukee,240,105,99,1,3+,
,2016-2017 Regular Season,11/25/16,8:00 PM,Miami,Memphis,240,90,81,1,1,
,2016-2017 Regular Season,11/25/16,8:00 PM,Brooklyn,Indiana,240,97,118,1,1,
,2016-2017 Regular Season,11/25/16,9:00 PM,Oklahoma City,Denver,265,132,129,3IN4,3IN4,
,2016-2017 Regular Season,11/25/16,9:00 PM,Minnesota,Phoenix,240,98,85,1,1,
,2016-2017 Regular Season,11/25/16,10:00 PM,New Orleans,Portland,240,104,119,3IN4,3IN4,
,2016-2017 Regular Season,11/25/16,10:30 PM,Golden State,LA Lakers,240,109,85,1,3IN4,
,2016-2017 Regular Season,11/25/16,10:30 PM,Houston,Sacramento,240,117,104,1,1,
,2016-2017 Regular Season,11/26/16,7:00 PM,San Antonio,Washington,240,112,100,3IN4-B2B,B2B,
,2016-2017 Regular Season,11/26/16,7:00 PM,New York,Charlotte,240,102,107,B2B,3IN4-B2B,
,2016-2017 Regular Season,11/26/16,8:00 PM,Detroit,Oklahoma City,240,88,106,3IN4-B2B,4IN5-B2B,
,2016-2017 Regular Season,11/26/16,8:00 PM,Memphis,Miami,240,110,107,3IN4-B2B,3IN4-B2B,
,2016-2017 Regular Season,11/26/16,10:30 PM,Minnesota,Golden State,240,102,115,3IN4-B2B,3IN4-B2B,
,2016-2017 Regular Season,11/27/16,1:00 PM,Cleveland,Philadelphia,240,112,108,1,1,
,2016-2017 Regular Season,11/27/16,3:30 PM,Denver,Phoenix,240,120,114,1,1,
,2016-2017 Regular Season,11/27/16,6:00 PM,Sacramento,Brooklyn,240,122,105,1,1,
,2016-2017 Regular Season,11/27/16,6:00 PM,Milwaukee,Orlando,240,104,96,1,1,
,2016-2017 Regular Season,11/27/16,6:00 PM,LA Clippers,Indiana,240,70,91,1,1,
,2016-2017 Regular Season,11/27/16,7:00 PM,New Orleans,Dallas,240,81,91,1,1,
,2016-2017 Regular Season,11/27/16,9:00 PM,Houston,Portland,240,130,114,1,1,
,2016-2017 Regular Season,11/27/16,9:30 PM,Atlanta,LA Lakers,240,94,109,1,1,
,2016-2017 Regular Season,11/28/16,7:00 PM,Sacramento,Washington,265,95,101,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/28/16,7:30 PM,Philadelphia,Toronto,240,95,122,3IN4-B2B,2,
,2016-2017 Regular Season,11/28/16,7:30 PM,Oklahoma City,New York,240,112,103,3IN4,3IN4,
,2016-2017 Regular Season,11/28/16,7:30 PM,Boston,Miami,240,112,104,2,3IN4,
,2016-2017 Regular Season,11/28/16,8:00 PM,Charlotte,Memphis,240,104,85,3IN4,3IN4,
,2016-2017 Regular Season,11/28/16,8:00 PM,Utah,Minnesota,240,112,103,2,3IN4,
,2016-2017 Regular Season,11/28/16,10:30 PM,Atlanta,Golden State,240,100,105,3IN4-B2B,3IN4,
,2016-2017 Regular Season,11/29/16,7:00 PM,Detroit,Charlotte,240,112,89,2,4IN5-B2B,
